ID,GenderSelect,Country,Age,CurrentJobTitleSelect,LanguageRecommendationSelect,FormalEducation,Tenure,MLSkillsSelect,MLTechniquesSelect,EmployerSize,WorkChallengeFrequencyExplaining,WorkChallengeFrequencyTalent,WorkChallengeFrequencyClarity,WorkChallengeFrequencyDataAccess,CompensationScore,WorkMLTeamSeatSelect,RemoteWork,JobSatisfaction,Continent,Income,IncomeCurrency
1,Male,Pakistan,28.0,Software Developer/Software Engineer,SAS,Bachelor's degree,3 to 5 years,Survival Analysis,"Hidden Markov Models HMMs,Logistic Regression,Neural Networks - RNNs",,,,,,8.0,Standalone Team,,4,AS_,110077,euro
2,Male,Mexico,26.0,Computer Scientist,Python,Master's degree,1 to 2 years,"Natural Language Processing,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Support Vector Machines (SVMs)","1,000 to 4,999 employees",,Often,,,,Business Department,,7,NA_,128111,dollar
3,Female,United States of America,34.0,Data Analyst,Python,Doctoral degree,6 to 10 years,Supervised Machine Learning (Tabular Data),"Ensemble Methods,Evolutionary Approaches,Neural Networks - GANs","1,000 to 4,999 employees",,Sometimes,,Most of the time,2.0,Other,Rarely,6,NA_,180486,dollar
4,Female,United States of America,33.0,Scientist/Researcher,Python,Doctoral degree,More than 10 years,Computer Vision,"Bayesian Techniques,Support Vector Machines (SVMs)","5,000 to 9,999 employees",,,Rarely,Rarely,2.0,Other,Rarely,9,NA_,140124,dollar
5,Female,United States of America,35.0,Software Developer/Software Engineer,Python,Doctoral degree,More than 10 years,Computer Vision,"Bayesian Techniques,Evolutionary Approaches,Logistic Regression,Support Vector Machines (SVMs)","10,000 or more employees",,,,Sometimes,8.0,Other,Rarely,8,NA_,183014,dollar
6,Male,France,26.0,Data Scientist,Python,Master's degree,1 to 2 years,"Supervised Machine Learning (Tabular Data),Survival Analysis,Time Series,Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression",Fewer than 10 employees,,,Often,,1.0,Standalone Team,Sometimes,9,EU_,111957,euro
7,Female,United States of America,37.0,Software Developer/Software Engineer,R,Master's degree,6 to 10 years,Supervised Machine Learning (Tabular Data),Bayesian Techniques,"1,000 to 4,999 employees",,Rarely,,,3.0,IT Department,Never,4,NA_,126065,dollar
8,Male,United States of America,33.0,Programmer,Python,Master's degree,More than 10 years,"Natural Language Processing,Supervised Machine Learning (Tabular Data)","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Logistic Regression",,Most of the time,Most of the time,Most of the time,,1.0,Other,,1,NA_,137558,dollar
9,Male,France,34.0,Data Scientist,Python,Doctoral degree,6 to 10 years,"Natural Language Processing,Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Time Series","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression,Neural Networks - CNNs,Neural Networks - RNNs,Support Vector Machines (SVMs)",10 to 19 employees,Sometimes,Often,Most of the time,,2.0,Standalone Team,Never,6,EU_,152775,euro
10,Female,Other,24.0,Scientist/Researcher,Python,Master's degree,3 to 5 years,,"Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Gradient Boosting,Logistic Regression,Neural Networks - RNNs,Support Vector Machines (SVMs)",500 to 999 employees,,Often,Often,,9.0,Standalone Team,Sometimes,9,Other_,106327,euro
11,Male,United States of America,24.0,Machine Learning Engineer,Python,Bachelor's degree,1 to 2 years,"Computer Vision,Reinforcement learning,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression,Markov Logic Networks,Neural Networks - CNNs,Neural Networks - RNNs,Support Vector Machines (SVMs)","5,000 to 9,999 employees",,Most of the time,,,4.0,IT Department,Sometimes,10,NA_,74143,dollar
12,Male,Romania,45.0,Software Developer/Software Engineer,Python,Doctoral degree,1 to 2 years,"Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Gradient Boosting,Logistic Regression,Support Vector Machines (SVMs)","10,000 or more employees",,,,,,Standalone Team,Sometimes,9,EU_,138802,euro
13,Male,Singapore,29.0,Data Scientist,Python,Master's degree,1 to 2 years,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data)","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting","10,000 or more employees",,Often,Often,Often,4.0,Central Insights Team,Sometimes,8,AS_,103919,euro
14,Male,United States of America,39.0,Scientist/Researcher,Python,Doctoral degree,3 to 5 years,Survival Analysis,Logistic Regression,"10,000 or more employees",,,,Sometimes,,Standalone Team,Sometimes,10,NA_,196880,dollar
15,Male,Mexico,37.0,Data Analyst,Python,Bachelor's degree,1 to 2 years,"Adversarial Learning,Machine Translation,Natural Language Processing,Outlier detection (e.g. Fraud detection),Recommendation Engines,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Logistic Regression,Neural Networks - CNNs",500 to 999 employees,,Most of the time,,Most of the time,8.0,Standalone Team,Never,4,NA_,79540,dollar
16,Male,Argentina,54.0,Researcher,Python,Doctoral degree,More than 10 years,"Computer Vision,Reinforcement learning,Unsupervised Learning","Bayesian Techniques,Evolutionary Approaches,Neural Networks - CNNs","1,000 to 4,999 employees",Often,,,Often,,Standalone Team,Sometimes,10,SA_,152861,euro
17,Male,United States of America,41.0,Scientist/Researcher,R,Doctoral degree,More than 10 years,Supervised Machine Learning (Tabular Data),"Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests","10,000 or more employees",,,,Often,5.0,Other,Never,6,NA_,155698,dollar
18,Male,United States of America,37.0,Researcher,Python,Master's degree,More than 10 years,"Computer Vision,Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Unsupervised Learning","Decision Trees - Random Forests,Evolutionary Approaches,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)",I don't know,,,,,0.0,IT Department,Always,6,NA_,128803,dollar
19,Male,United States of America,47.0,Data Scientist,R,Master's degree,Less than a year,Outlier detection (e.g. Fraud detection),"Bayesian Techniques,Decision Trees - Random Forests,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)",,,,,Sometimes,3.0,Standalone Team,Always,10,NA_,141872,dollar
20,Male,Australia,30.0,Business Analyst,Python,Master's degree,1 to 2 years,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression,Support Vector Machines (SVMs)",10 to 19 employees,Rarely,Sometimes,Most of the time,,1.0,Business Department,Rarely,6,OC_,139811,euro
21,Male,China,26.0,Data Analyst,Python,Bachelor's degree,1 to 2 years,"Adversarial Learning,Computer Vision,Natural Language Processing,Outlier detection (e.g. Fraud detection),Recommendation Engines,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Hidden Markov Models HMMs,Logistic Regression,Markov Logic Networks,Neural Networks - CNNs,Neural Networks - GANs,Neural Networks - RNNs","10,000 or more employees",,,,,8.0,Central Insights Team,Sometimes,6,AS_,88075,euro
22,Male,Germany,31.0,Data Scientist,R,Bachelor's degree,3 to 5 years,"Natural Language Processing,Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Ensemble Methods,Hidden Markov Models HMMs,Markov Logic Networks,Neural Networks - CNNs,Neural Networks - RNNs,Support Vector Machines (SVMs)","1,000 to 4,999 employees",,Often,,Sometimes,,Other,Sometimes,8,EU_,121103,euro
23,Male,India,21.0,Data Analyst,Python,Bachelor's degree,1 to 2 years,"Natural Language Processing,Outlier detection (e.g. Fraud detection),Recommendation Engines,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Decision Trees - Random Forests,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)",20 to 99 employees,,Most of the time,Most of the time,,8.0,IT Department,Sometimes,5,AS_,80717,euro
25,Male,Russia,22.0,Data Scientist,Python,Bachelor's degree,3 to 5 years,"Natural Language Processing,Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression,Neural Networks - CNNs,Neural Networks - RNNs,Support Vector Machines (SVMs)",,,,,,,IT Department,Sometimes,10,EU_,91973,euro
26,Male,Other,45.0,Software Developer/Software Engineer,Python,Other,More than 10 years,"Computer Vision,Reinforcement learning,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression,Neural Networks - CNNs,Neural Networks - GANs,Neural Networks - RNNs,Support Vector Machines (SVMs)","5,000 to 9,999 employees",,,,,0.0,Other,Rarely,8,Other_,111327,euro
27,Male,United States of America,36.0,Data Analyst,R,Other,1 to 2 years,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data)","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Gradient Boosting","10,000 or more employees",Sometimes,Often,Rarely,Sometimes,3.0,Business Department,Rarely,7,NA_,112839,dollar
28,Female,China,,Data Analyst,,Bachelor's degree,,,,10 to 19 employees,,,,,,,,7,AS_,101930,euro
