image_id,Male,Blond_Hair,Eyeglasses,Wearing_Earrings,Bangs,Young,Smiling,Heavy_Makeup,Straight_Hair,Black_Hair
000001.jpg,0,0,0,1,0,1,1,1,1,0
000002.jpg,0,0,0,0,0,1,1,0,0,0
000003.jpg,1,0,0,0,0,1,0,0,0,0
000004.jpg,0,0,0,1,0,1,0,0,1,0
000005.jpg,0,0,0,0,0,1,0,1,0,0
000006.jpg,0,0,0,1,0,1,0,1,0,0
000007.jpg,1,0,0,0,0,1,0,0,1,1
000008.jpg,1,0,0,0,0,1,0,0,0,1
000009.jpg,0,0,0,1,1,1,1,1,0,0
000010.jpg,0,0,0,0,0,1,0,1,0,0
000011.jpg,0,0,0,0,0,1,1,0,0,1
000012.jpg,1,0,0,0,0,1,1,0,1,1
000013.jpg,1,1,0,0,0,1,1,0,1,0
000014.jpg,0,0,0,0,0,1,1,1,0,1
000015.jpg,1,0,0,0,0,0,0,0,1,0
000016.jpg,1,0,0,0,0,1,1,0,1,0
000017.jpg,0,0,0,0,0,1,1,0,1,1
000018.jpg,0,1,0,1,0,0,1,1,0,0
000019.jpg,0,1,0,0,0,1,0,1,0,0
000020.jpg,1,0,0,0,0,1,0,0,0,1
000021.jpg,1,0,0,0,0,0,1,0,1,0
000022.jpg,0,1,0,0,0,1,0,1,0,0
000023.jpg,1,0,0,0,0,1,1,0,1,0
000024.jpg,0,1,0,1,0,1,0,1,0,0
000025.jpg,1,0,0,0,0,1,0,0,0,0
000026.jpg,0,0,0,0,0,1,0,0,1,0
000027.jpg,0,0,0,0,0,1,1,1,0,1
000028.jpg,0,0,0,0,0,1,1,1,0,0
000029.jpg,0,1,0,1,1,1,1,1,0,0
000030.jpg,1,0,0,0,0,0,0,0,0,0
000031.jpg,0,0,0,0,0,1,1,0,0,0
000032.jpg,1,0,0,0,0,0,0,0,1,0
000033.jpg,1,0,0,0,0,1,1,0,1,1
000034.jpg,0,0,0,0,0,1,0,1,0,0
000035.jpg,0,0,0,0,0,1,0,1,0,1
000036.jpg,1,0,0,0,0,1,0,0,1,1
000037.jpg,1,0,0,0,0,1,0,0,0,0
000038.jpg,1,0,0,0,0,1,1,0,0,0
000039.jpg,0,0,0,1,0,1,1,1,0,0
000040.jpg,0,0,0,1,0,1,0,1,0,1
000041.jpg,1,0,0,0,0,1,1,0,0,1
000042.jpg,0,0,0,1,0,1,1,1,0,0
000043.jpg,0,0,0,1,0,1,1,1,0,0
000044.jpg,0,0,0,0,0,1,0,0,0,1
000045.jpg,0,0,0,1,0,1,1,1,0,0
000046.jpg,0,0,0,0,1,1,1,1,0,1
000047.jpg,0,0,0,1,0,1,1,1,1,1
000048.jpg,1,0,0,0,1,1,0,0,0,0
000049.jpg,1,0,0,0,0,0,0,0,0,1
000050.jpg,1,0,0,0,0,1,1,0,0,1
000051.jpg,1,0,0,0,0,0,0,0,0,0
000052.jpg,1,0,0,0,0,0,0,0,1,0
000053.jpg,1,0,1,0,1,0,0,0,0,0
000054.jpg,0,1,0,0,0,1,1,1,0,0
000055.jpg,1,0,0,0,0,0,0,0,0,1
000056.jpg,1,0,0,0,0,1,0,0,1,1
000057.jpg,0,0,0,1,0,1,0,1,0,1
000058.jpg,0,0,0,0,0,1,0,1,0,0
000059.jpg,0,0,0,0,0,1,0,0,0,1
000060.jpg,1,0,0,0,0,1,0,0,0,0
000061.jpg,1,0,0,0,0,1,0,0,0,0
000062.jpg,0,0,0,0,1,1,1,1,0,0
000063.jpg,0,0,0,0,0,1,1,1,0,0
000064.jpg,1,0,0,0,0,1,1,0,1,0
000065.jpg,1,0,0,0,0,1,1,0,1,1
000066.jpg,0,0,0,1,1,0,1,0,0,0
000067.jpg,1,0,0,0,0,0,0,0,0,0
000068.jpg,1,0,0,0,0,0,1,0,0,0
000069.jpg,1,0,0,0,0,0,0,0,0,0
000070.jpg,1,0,0,0,0,1,1,0,1,1
000071.jpg,0,1,0,1,1,1,1,1,1,0
000072.jpg,1,0,0,0,0,0,1,0,0,1
000073.jpg,0,0,0,0,0,1,0,1,0,1
000074.jpg,0,0,0,1,0,1,0,1,0,0
000075.jpg,0,0,0,0,0,1,0,1,0,0
000076.jpg,1,0,0,0,0,1,1,0,0,1
000077.jpg,0,0,0,0,1,1,1,1,0,0
000078.jpg,0,0,0,0,0,1,0,1,0,1
000079.jpg,1,0,0,0,0,0,1,0,0,0
000080.jpg,1,0,0,0,0,1,0,0,0,1
000081.jpg,1,0,0,0,0,1,1,0,0,1
000082.jpg,1,0,0,0,0,1,1,0,0,0
000083.jpg,0,0,0,1,0,1,1,1,0,0
000084.jpg,0,0,0,1,0,0,0,0,0,0
000085.jpg,0,0,0,1,0,1,0,1,0,0
000086.jpg,0,0,0,0,0,1,0,0,0,0
000087.jpg,0,0,0,0,0,1,1,0,0,0
000088.jpg,0,0,0,0,0,1,0,1,0,0
000089.jpg,0,0,0,0,0,1,0,0,0,0
000090.jpg,1,0,0,0,0,1,0,0,1,0
000091.jpg,1,0,0,0,0,1,0,0,1,1
000092.jpg,0,1,0,0,0,1,1,1,0,0
000093.jpg,0,0,1,0,1,1,0,0,1,0
000094.jpg,0,1,0,0,1,0,1,0,0,0
000095.jpg,0,0,0,1,0,1,0,0,0,0
000096.jpg,0,0,0,0,0,1,0,0,0,0
000097.jpg,0,0,0,0,0,1,0,1,1,0
000098.jpg,0,0,0,0,0,1,0,1,0,1
000099.jpg,0,0,0,0,0,1,1,1,0,0
000100.jpg,0,1,0,0,0,1,0,1,0,0
000101.jpg,0,0,0,0,0,1,0,0,0,1
000102.jpg,1,0,0,0,0,1,0,0,0,1
000103.jpg,0,0,0,0,0,1,0,1,0,0
000104.jpg,1,0,0,0,0,1,1,0,0,0
000105.jpg,1,0,0,0,1,1,0,0,1,0
000106.jpg,0,0,0,1,0,1,1,1,0,0
000107.jpg,0,0,0,0,0,1,1,1,0,0
000108.jpg,0,1,0,1,0,1,1,1,0,0
000109.jpg,1,0,0,0,0,0,0,0,1,0
000110.jpg,0,0,0,0,1,1,1,0,0,0
